# Data measured at q = 1.8 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 2.568286135492697797e-01 7.822029659827356429e-02
-2.877551020408163351e-01 2.925946271285916334e-01 3.271797098064924830e-02
-2.755102040816326259e-01 2.446534762352399472e-01 2.795589186782976299e-01
-2.632653061224489721e-01 2.410523067994593260e-01 8.031766556941655200e-02
-2.510204081632653184e-01 2.609181361550817480e-01 3.963706258241114777e-01
-2.387755102040816091e-01 4.143892000784429319e-01 4.331159260239171305e-01
-2.265306122448979553e-01 3.392237588739036025e-01 1.490703775336830739e-01
-2.142857142857142738e-01 3.816108987747758308e-01 1.674371712410709784e-02
-2.020408163265305923e-01 4.503526204314237669e-01 1.101677903640331246e-01
-1.897959183673469385e-01 5.900315941594057589e-01 9.718204190330208270e-02
-1.775510204081632570e-01 5.428005415314925974e-01 1.394350200211159629e-01
-1.653061224489795755e-01 6.098202425073918631e-01 1.781626739194813458e-01
-1.530612244897959218e-01 7.445782530432482060e-01 3.513279059018797890e-02
-1.408163265306122403e-01 1.014577350168484049e+00 1.162817077775224334e-01
-1.285714285714285587e-01 9.783679281211956624e-01 3.037935691561187146e-01
-1.163265306122449050e-01 1.313271813596091908e+00 1.196916431556398486e-01
-1.040816326530612235e-01 1.432218648563356123e+00 1.000293595136269587e-01
-9.183673469387754196e-02 1.553507333589361217e+00 2.994962236904979633e-02
-7.959183673469388820e-02 1.997693593572749116e+00 1.879653884115870532e-01
-6.734693877551020669e-02 2.343663243834245957e+00 3.167390312010919667e-02
-5.510204081632652517e-02 2.844413329997980355e+00 3.009571994428592023e-01
-4.285714285714287142e-02 3.318960240278691742e+00 2.771598209705328913e-02
-3.061224489795916215e-02 3.834471314390988983e+00 3.585557933964943489e-01
-1.836734693877550839e-02 4.255052125736164648e+00 1.852732435287330216e-03
-6.122448979591854634e-03 4.591478760161562533e+00 1.436521218199425347e-02
6.122448979591854634e-03 4.641150050150059769e+00 2.611646021881624535e-01
1.836734693877550839e-02 4.396870733791915953e+00 1.260906402671140569e-01
3.061224489795916215e-02 3.945712026927328697e+00 1.774958389824498606e-01
4.285714285714287142e-02 3.328491294774963194e+00 3.520279806021162639e-01
5.510204081632652517e-02 2.834020620809500013e+00 3.311461220191577043e-02
6.734693877551017893e-02 2.373338317101392647e+00 1.914930664266416560e-01
7.959183673469388820e-02 1.860063144657164713e+00 1.497904327448766615e-01
9.183673469387754196e-02 1.613918734951557576e+00 7.752228483061114617e-02
1.040816326530611957e-01 1.430405714745685231e+00 1.066064311682880100e-01
1.163265306122449050e-01 1.176022072916496297e+00 4.404435512627495886e-01
1.285714285714285587e-01 1.043476860037947596e+00 7.623035299767154382e-02
1.408163265306122125e-01 8.795862947998454029e-01 3.772494113113502578e-01
1.530612244897959218e-01 7.489138491684402821e-01 7.234759068500053181e-02
1.653061224489795755e-01 6.639280528714082141e-01 1.867700684890303275e-01
1.775510204081632293e-01 5.403287293721994455e-01 6.601336309256235213e-02
1.897959183673469385e-01 5.674651499768027518e-01 2.642936716130894204e-01
2.020408163265306478e-01 5.009196266626008143e-01 1.077820270029769267e-01
2.142857142857142461e-01 4.653004055753363066e-01 2.677288404633795457e-02
2.265306122448979553e-01 3.489600132277503319e-01 3.946009777449503986e-01
2.387755102040816646e-01 3.411124540317558296e-01 9.239510331175883329e-02
2.510204081632652628e-01 3.868864478072833735e-01 3.813156776143910021e-01
2.632653061224489721e-01 3.268310131758853654e-01 2.555035326924585959e-02
2.755102040816326814e-01 2.548544970598434212e-01 3.025817497686223573e-02
2.877551020408162796e-01 2.414305496015800578e-01 3.259748643402847201e-01
2.999999999999999889e-01 1.934136774229602285e-01 3.391238221025547617e-01
