# Data measured at q = 0.2 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 7.327279625872483437e-02 1.615798959449248062e-01
-2.877551020408163351e-01 -2.801705837724490986e-02 1.042130472652099960e-01
-2.755102040816326259e-01 2.585635858536645265e-02 8.885455100435590836e-02
-2.632653061224489721e-01 -1.850513330391997946e-02 1.102981197453713896e-01
-2.510204081632653184e-01 5.392174712583373830e-02 4.379375477768607250e-02
-2.387755102040816091e-01 1.401552381245167039e-02 5.271579686817048915e-02
-2.265306122448979553e-01 4.058302093878542183e-02 1.170241508298948407e-02
-2.142857142857142738e-01 7.165207566239847892e-02 1.704986820488908483e-01
-2.020408163265305923e-01 8.626913272001364430e-02 1.347972879556727510e-01
-1.897959183673469385e-01 4.159189243106884565e-02 2.526767770581916928e-02
-1.775510204081632570e-01 8.666310727629455979e-02 2.464369633624536593e-01
-1.653061224489795755e-01 4.243398357051657299e-02 1.687141475609104380e-01
-1.530612244897959218e-01 -5.391675420152511333e-02 2.722287487471987677e-01
-1.408163265306122403e-01 1.087024638281210431e-01 1.633711992626464271e-01
-1.285714285714285587e-01 1.906838899584782643e-02 1.972015789480319192e-01
-1.163265306122449050e-01 8.461374907921941080e-02 2.253227789941016079e-01
-1.040816326530612235e-01 1.186081483560433303e-01 8.191414082761859505e-02
-9.183673469387754196e-02 9.250191669257999683e-02 1.813518059773201740e-01
-7.959183673469388820e-02 1.401601007214041961e-01 1.147868744912061145e-01
-6.734693877551020669e-02 3.045478114716573259e-01 3.437074995128472921e-01
-5.510204081632652517e-02 4.534315736779606087e-01 6.854653852324787966e-02
-4.285714285714287142e-02 5.747764436084193962e-01 2.820434081502018464e-01
-3.061224489795916215e-02 1.181664074868305381e+00 2.442987576781026349e-02
-1.836734693877550839e-02 3.166415394185796206e+00 6.402408250067619100e-02
-6.122448979591854634e-03 2.249921549963256240e+01 1.595604364734007907e-01
6.122448979591854634e-03 2.252134333572894676e+01 2.620252214333471108e-01
1.836734693877550839e-02 3.139998681347732301e+00 1.704263717971302439e-01
3.061224489795916215e-02 1.141390232341904731e+00 6.848450433442380969e-02
4.285714285714287142e-02 6.528697501656125501e-01 2.524455789149247786e-02
5.510204081632652517e-02 3.934654962247628451e-01 5.419677660887204373e-01
6.734693877551017893e-02 2.938870397033038206e-01 3.628388025836819242e-02
7.959183673469388820e-02 2.686968137624300423e-01 6.766140023283738480e-02
9.183673469387754196e-02 1.151893024762600803e-01 2.639682323431013500e-01
1.040816326530611957e-01 5.843799797111916272e-02 3.602479616959917627e-03
1.163265306122449050e-01 1.002618788190376559e-01 1.576082309119348213e-01
1.285714285714285587e-01 5.994091350715975014e-02 2.722293307004956808e-02
1.408163265306122125e-01 1.325724190736433106e-01 2.674041137727530826e-01
1.530612244897959218e-01 4.378318046871005481e-02 2.257829887095884683e-02
1.653061224489795755e-01 7.198355195991279487e-02 8.205026014277605473e-02
1.775510204081632293e-01 1.654536528796582071e-02 2.751539927287900422e-01
1.897959183673469385e-01 -4.826120522053150425e-03 9.808302187310391496e-02
2.020408163265306478e-01 5.449632636376917916e-02 1.388392453527410864e-01
2.142857142857142461e-01 7.660092016076017196e-02 2.977463563092043741e-01
2.265306122448979553e-01 -9.387440498801927213e-03 2.873583780966311799e-02
2.387755102040816646e-01 1.586932219397305110e-03 4.437890683243106427e-01
2.510204081632652628e-01 1.187991424937807072e-01 6.640254671108781342e-03
2.632653061224489721e-01 4.130037807840865327e-02 3.774495889447895824e-02
2.755102040816326814e-01 -2.049386474574939332e-02 1.422420009416004161e-01
2.877551020408162796e-01 7.438870501528725698e-02 1.623157007321043288e-01
2.999999999999999889e-01 -7.259557176580746368e-03 5.611117545705309739e-01
