# Data measured at q = 2.6 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 1.884862631881887296e-01 4.934484493117121534e-02
-2.877551020408163351e-01 2.141450723301468739e-01 3.257713228781664583e-01
-2.755102040816326259e-01 2.215977751889928460e-01 1.232636665178073465e-01
-2.632653061224489721e-01 1.670739103507376255e-01 4.207246853277289700e-02
-2.510204081632653184e-01 2.640543416469344207e-01 3.906593466671320902e-01
-2.387755102040816091e-01 2.885159211104958432e-01 7.013581491591988626e-02
-2.265306122448979553e-01 3.384147658246249302e-01 6.901552392156040661e-02
-2.142857142857142738e-01 3.358304200264740635e-01 3.762398458474947027e-01
-2.020408163265305923e-01 3.557773396551972556e-01 2.492360168019669975e-01
-1.897959183673469385e-01 4.547407278229823047e-01 1.228772047322316263e-01
-1.775510204081632570e-01 4.688076622075819100e-01 2.148494702631889020e-01
-1.653061224489795755e-01 4.499167851547505870e-01 1.598704872978388702e-01
-1.530612244897959218e-01 7.020801125083963035e-01 9.084922535956535539e-02
-1.408163265306122403e-01 7.723884158608798067e-01 1.191235856976295138e-01
-1.285714285714285587e-01 8.723848267141960378e-01 3.018829724793067881e-01
-1.163265306122449050e-01 1.060304004541864575e+00 2.050426582067479131e-01
-1.040816326530612235e-01 1.311917878588997333e+00 2.426681049511850985e-01
-9.183673469387754196e-02 1.471984662632570773e+00 6.237260650434552911e-01
-7.959183673469388820e-02 1.858672946466073395e+00 2.988336567281826839e-02
-6.734693877551020669e-02 2.287706353290186012e+00 2.219286310305622623e-01
-5.510204081632652517e-02 2.877786488432688916e+00 2.787949438140987710e-02
-4.285714285714287142e-02 3.634358708338582655e+00 1.888243258088391774e-01
-3.061224489795916215e-02 4.546377629287562172e+00 3.579556154983728339e-02
-1.836734693877550839e-02 5.394006964437099150e+00 5.701835661564505497e-02
-6.122448979591854634e-03 6.056108283899101608e+00 1.442159032319635659e-02
6.122448979591854634e-03 5.922220736685964937e+00 1.492500679507323402e-01
1.836734693877550839e-02 5.420799099791603126e+00 4.420414374482348752e-01
3.061224489795916215e-02 4.462895708285826935e+00 9.684649842857778745e-02
4.285714285714287142e-02 3.779435558167624887e+00 4.820315477052855568e-02
5.510204081632652517e-02 2.843271929193736725e+00 3.652797990981471871e-02
6.734693877551017893e-02 2.190256911593656319e+00 1.523292564710988090e-02
7.959183673469388820e-02 1.857805733122148917e+00 6.328702092468330154e-02
9.183673469387754196e-02 1.440522976777072195e+00 8.827010314271746538e-02
1.040816326530611957e-01 1.243006194121855978e+00 1.342133946028274127e-01
1.163265306122449050e-01 9.763226665648927494e-01 2.307621317024186325e-01
1.285714285714285587e-01 8.177579564855517180e-01 1.260812439097533100e-01
1.408163265306122125e-01 7.277226190038178499e-01 1.677515902137402815e-01
1.530612244897959218e-01 5.846779942388306006e-01 1.768634293114397238e-01
1.653061224489795755e-01 5.693488754123425810e-01 1.292982877813442580e-02
1.775510204081632293e-01 5.190450246709297222e-01 4.859058717510887637e-02
1.897959183673469385e-01 5.096379355048215043e-01 5.301284355491134997e-02
2.020408163265306478e-01 3.589725967044002375e-01 2.497027587271933025e-01
2.142857142857142461e-01 3.956296951815252427e-01 1.205329875625343883e-01
2.265306122448979553e-01 3.856912819969019468e-01 4.530080648132455146e-01
2.387755102040816646e-01 1.934369383306985823e-01 1.817352017964771749e-01
2.510204081632652628e-01 2.357970096543040572e-01 1.318514171637845400e-01
2.632653061224489721e-01 2.516351093978536069e-01 1.099778187932933804e-01
2.755102040816326814e-01 1.270606197253325576e-01 3.354925636117528365e-02
2.877551020408162796e-01 1.841563067903237427e-01 7.636883755618875669e-02
2.999999999999999889e-01 2.644377439710801081e-01 1.701687883652150401e-01
