# Data measured at q = 0.6 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 1.084859165070584941e-01 4.504885962248082049e-02
-2.877551020408163351e-01 1.311681432685048165e-01 1.917849769891926959e-01
-2.755102040816326259e-01 1.577221789990342626e-01 1.064102002597057672e-01
-2.632653061224489721e-01 1.471197258785320039e-01 1.961521792127494113e-01
-2.510204081632653184e-01 1.876043287389572989e-01 3.158182563706807972e-02
-2.387755102040816091e-01 2.411886334779828889e-01 8.681385022208450153e-02
-2.265306122448979553e-01 9.330974862247112811e-02 1.378313944567415572e-01
-2.142857142857142738e-01 2.194975264340441046e-01 2.590985555611721169e-01
-2.020408163265305923e-01 2.262214661300693264e-01 1.590581584259592729e-01
-1.897959183673469385e-01 1.861666613080653065e-01 8.721916147949961007e-02
-1.775510204081632570e-01 3.169028560412150974e-01 2.530802627386424808e-02
-1.653061224489795755e-01 3.151393013023032763e-01 9.278423064964586020e-02
-1.530612244897959218e-01 4.104137653523873830e-01 7.693969620531544706e-02
-1.408163265306122403e-01 4.280120168471601705e-01 1.838004965072576324e-01
-1.285714285714285587e-01 4.251203411511537134e-01 2.615981514218695611e-02
-1.163265306122449050e-01 5.820471426629689748e-01 1.556217272031436838e-01
-1.040816326530612235e-01 8.380832919940055525e-01 9.428758845072046646e-02
-9.183673469387754196e-02 9.663233424817652129e-01 1.527379474245053048e-01
-7.959183673469388820e-02 1.195804648716849439e+00 1.416542108625706287e-01
-6.734693877551020669e-02 1.611059977431571921e+00 1.300197905536750465e-01
-5.510204081632652517e-02 2.301623180261366031e+00 1.025427242113291781e-01
-4.285714285714287142e-02 3.363074606385545895e+00 6.913133189800527156e-02
-3.061224489795916215e-02 5.142541353229778345e+00 1.497216898945649688e-01
-1.836734693877550839e-02 7.968836779500092504e+00 1.383604842178747518e-01
-6.122448979591854634e-03 1.105252940490210456e+01 1.027379105102039364e-02
6.122448979591854634e-03 1.100249082953297908e+01 2.545387042821804502e-01
1.836734693877550839e-02 7.942413094611326052e+00 1.426320667530298070e-01
3.061224489795916215e-02 5.265223820022876922e+00 3.723983269575839028e-01
4.285714285714287142e-02 3.370604765003543779e+00 8.379048602091682119e-02
5.510204081632652517e-02 2.402588185887824856e+00 1.809223158621167116e-01
6.734693877551017893e-02 1.610878467095549160e+00 2.059546275879250432e-01
7.959183673469388820e-02 1.154870409814317656e+00 1.183585748105604740e-01
9.183673469387754196e-02 9.197536388500731075e-01 7.583196944367705250e-02
1.040816326530611957e-01 6.811804607728749739e-01 9.837052187978655160e-02
1.163265306122449050e-01 6.749651543324198810e-01 4.699701457562938112e-01
1.285714285714285587e-01 5.598044350747846121e-01 1.927814681163790220e-02
1.408163265306122125e-01 4.423701224078692151e-01 2.392525973261751815e-01
1.530612244897959218e-01 3.603696916177527299e-01 3.408766108679778251e-01
1.653061224489795755e-01 3.515169651796444805e-01 2.386163224886800674e-02
1.775510204081632293e-01 2.806314670042492909e-01 3.083738712434007379e-02
1.897959183673469385e-01 2.444736245775916417e-01 8.792600599178092280e-02
2.020408163265306478e-01 2.335002391705353619e-01 2.376260182729748593e-01
2.142857142857142461e-01 1.133790286912183254e-01 1.933427461993044716e-01
2.265306122448979553e-01 1.196425401918795733e-01 1.905599144972610348e-01
2.387755102040816646e-01 2.054503563965680013e-01 1.468461860213068071e-01
2.510204081632652628e-01 2.502283948338521746e-01 9.278415613566000364e-02
2.632653061224489721e-01 1.899874757911629020e-01 2.303505702158886170e-01
2.755102040816326814e-01 1.385028870114016486e-01 1.232567428969702644e-01
2.877551020408162796e-01 8.854318428591967383e-02 3.663905975228928802e-02
2.999999999999999889e-01 2.055256676336497668e-02 1.814709375419690518e-01
