# Data measured at q = 2.2 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 2.076706083091514610e-01 1.611326432677521736e-01
-2.877551020408163351e-01 2.778693891947987549e-01 1.860396560973263946e-01
-2.755102040816326259e-01 3.001944600291311938e-01 1.318506414710224062e-01
-2.632653061224489721e-01 3.608978640168335472e-01 2.735340971456755310e-02
-2.510204081632653184e-01 3.270518867950538144e-01 3.843359456837532329e-01
-2.387755102040816091e-01 2.856038650155494074e-01 1.386958738277519754e-01
-2.265306122448979553e-01 3.298619193468787514e-01 5.849135509913946929e-02
-2.142857142857142738e-01 3.764223926063403614e-01 2.850761779499459969e-01
-2.020408163265305923e-01 3.525896103819796124e-01 3.332668978757182821e-01
-1.897959183673469385e-01 5.093440830598455760e-01 3.500976824870318804e-01
-1.775510204081632570e-01 4.614814841767942433e-01 2.795671496612032181e-01
-1.653061224489795755e-01 6.192412543519968393e-01 2.508152985424293435e-01
-1.530612244897959218e-01 7.329875182292845404e-01 2.982588030880505836e-01
-1.408163265306122403e-01 9.059818920479735249e-01 1.189083378194269874e-01
-1.285714285714285587e-01 9.571795463091692380e-01 7.010689395946344271e-02
-1.163265306122449050e-01 1.135806056547519205e+00 1.307035456581020216e-01
-1.040816326530612235e-01 1.285782632735321229e+00 1.412975765253375871e-01
-9.183673469387754196e-02 1.560370426515381270e+00 2.230112854699317360e-01
-7.959183673469388820e-02 1.839041370204221426e+00 7.739211773290649576e-02
-6.734693877551020669e-02 2.310291235070494498e+00 1.381894368673279860e-01
-5.510204081632652517e-02 2.904864143143783828e+00 9.709127973829913272e-02
-4.285714285714287142e-02 3.618937996557335612e+00 2.361670836990037159e-01
-3.061224489795916215e-02 4.336799530224914712e+00 2.839442033489480433e-01
-1.836734693877550839e-02 5.072812854976485930e+00 1.475782290372018059e-02
-6.122448979591854634e-03 5.487164777173786590e+00 5.475370587797917521e-02
6.122448979591854634e-03 5.582945315717211088e+00 1.567116733073637136e-01
1.836734693877550839e-02 5.085394404896055320e+00 1.676397058801202822e-01
3.061224489795916215e-02 4.265118555207517481e+00 1.148164490381761854e-01
4.285714285714287142e-02 3.555715940468040959e+00 2.955363041687446013e-01
5.510204081632652517e-02 2.926196215181137372e+00 1.619155271191845269e-01
6.734693877551017893e-02 2.353833937059783832e+00 1.451068281020604922e-01
7.959183673469388820e-02 1.847104383364442937e+00 3.958417314985772650e-01
9.183673469387754196e-02 1.561996727376489202e+00 8.389770104202759482e-02
1.040816326530611957e-01 1.376548839262041746e+00 7.739988672177412765e-02
1.163265306122449050e-01 1.199636182018756214e+00 1.368412828500851219e-01
1.285714285714285587e-01 8.949910344640530369e-01 3.599077230548074491e-01
1.408163265306122125e-01 7.748855129950240617e-01 7.479160992386875428e-02
1.530612244897959218e-01 6.640733099091910008e-01 6.847718081355225195e-02
1.653061224489795755e-01 5.355586563228581509e-01 5.401311448259946829e-02
1.775510204081632293e-01 5.005221404328470403e-01 8.314453050497179476e-02
1.897959183673469385e-01 4.120320734578364896e-01 2.139910737789020301e-01
2.020408163265306478e-01 3.620508864983945641e-01 6.765813028050959854e-02
2.142857142857142461e-01 3.413164574304663468e-01 3.131356677911113495e-01
2.265306122448979553e-01 3.227731512514903089e-01 6.639343768345087014e-03
2.387755102040816646e-01 2.617844939074261967e-01 9.857059704344420248e-02
2.510204081632652628e-01 3.224862948298553578e-01 1.736122936267910366e-01
2.632653061224489721e-01 1.082517715766413424e-01 1.367077494566556750e-01
2.755102040816326814e-01 2.553580903342886899e-01 1.623679712781995466e-01
2.877551020408162796e-01 1.956768836997363481e-01 5.236082527569475842e-02
2.999999999999999889e-01 2.203613080017085002e-01 3.276378443699989873e-01
