# Data measured at q = 3.0 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 2.153832328976093002e-01 1.454286472185354999e-02
-2.877551020408163351e-01 1.160605651863855642e-01 2.698505361911402445e-01
-2.755102040816326259e-01 2.962874889793545297e-01 1.422382106056016837e-01
-2.632653061224489721e-01 2.787235881667400328e-01 1.991722077301364691e-01
-2.510204081632653184e-01 2.795458442746839856e-01 2.779301072478304255e-03
-2.387755102040816091e-01 2.241160213455067884e-01 1.050891354018077400e-01
-2.265306122448979553e-01 4.201784213380606037e-01 7.508876457853092511e-03
-2.142857142857142738e-01 2.975815351754589888e-01 9.346619111541058789e-02
-2.020408163265305923e-01 4.989262605599503186e-01 1.738643642240925505e-02
-1.897959183673469385e-01 4.111874740990508204e-01 9.980600397046381078e-02
-1.775510204081632570e-01 5.746434536244476865e-01 1.173298509936581413e-01
-1.653061224489795755e-01 6.659139803659545054e-01 1.478514326483022501e-01
-1.530612244897959218e-01 7.462593150707997891e-01 4.032541717242959511e-01
-1.408163265306122403e-01 7.254339679077761449e-01 2.406881156303731784e-01
-1.285714285714285587e-01 9.727377733636445312e-01 9.778763417887502418e-02
-1.163265306122449050e-01 1.155383978729146222e+00 2.990427181462277928e-01
-1.040816326530612235e-01 1.213114745171207653e+00 1.470519993519069923e-01
-9.183673469387754196e-02 1.593937390288867828e+00 3.896477226982992398e-02
-7.959183673469388820e-02 1.867101188038938764e+00 3.946293071835413335e-02
-6.734693877551020669e-02 2.456189076390220549e+00 5.554798456887388020e-02
-5.510204081632652517e-02 2.861081917981464606e+00 1.832684262795075680e-01
-4.285714285714287142e-02 3.540679056795256407e+00 1.763391310544271395e-01
-3.061224489795916215e-02 4.249274132934404591e+00 1.038200950428385810e-01
-1.836734693877550839e-02 5.096329476723736818e+00 1.387435650585838454e-01
-6.122448979591854634e-03 5.558147310256532414e+00 3.649578749072032169e-01
6.122448979591854634e-03 5.544017849294806233e+00 1.660432998078066602e-01
1.836734693877550839e-02 5.024277036405410790e+00 1.751630568238566055e-01
3.061224489795916215e-02 4.308421415524105846e+00 5.350382814655479935e-02
4.285714285714287142e-02 3.646891520469359715e+00 2.260797694316680484e-01
5.510204081632652517e-02 2.941838877175531941e+00 8.851339804161537095e-02
6.734693877551017893e-02 2.344971171083152672e+00 1.494000014445283631e-01
7.959183673469388820e-02 1.857988919600887634e+00 1.001325943282259032e-02
9.183673469387754196e-02 1.506315014601640634e+00 1.638847573849485650e-01
1.040816326530611957e-01 1.231132185392669998e+00 1.669252157911081946e-01
1.163265306122449050e-01 1.121856851543531652e+00 5.300280668459743383e-03
1.285714285714285587e-01 9.336215769735326520e-01 3.305162554024047156e-02
1.408163265306122125e-01 8.069132728170993474e-01 3.232079331908280229e-01
1.530612244897959218e-01 6.876016128272630645e-01 2.320358617814464175e-01
1.653061224489795755e-01 5.658773942415281644e-01 4.084387546226362492e-02
1.775510204081632293e-01 5.690469631438476172e-01 2.196390133426769434e-02
1.897959183673469385e-01 4.842700265406594262e-01 1.425211779512482874e-02
2.020408163265306478e-01 4.919421914880928726e-01 1.428700330172674449e-01
2.142857142857142461e-01 4.451383430289670984e-01 3.882604604110042601e-01
2.265306122448979553e-01 2.513973266532565920e-01 1.097281125137996166e-01
2.387755102040816646e-01 3.453066419426877864e-01 6.631287686286334304e-02
2.510204081632652628e-01 2.559208052561893210e-01 3.251274525332592535e-01
2.632653061224489721e-01 2.246266011071948177e-01 1.518380702761010503e-01
2.755102040816326814e-01 2.842324821283370717e-01 5.655922956628761655e-02
2.877551020408162796e-01 2.342541013164681774e-01 1.611965758915817962e-02
2.999999999999999889e-01 1.958660830156946919e-01 2.733307318240427719e-01
