# Data measured at q = 1.0 Å-1
# omega/meV S/dimensionless errorS/dimensionless
-2.999999999999999889e-01 1.454814920599944716e-01 1.566425842464195251e-01
-2.877551020408163351e-01 1.265270179716752041e-01 4.570719545668312095e-02
-2.755102040816326259e-01 1.703354972724085703e-01 5.869321858844250145e-02
-2.632653061224489721e-01 2.265190358672715676e-01 2.818970501062549316e-01
-2.510204081632653184e-01 2.529345832305510688e-01 2.143867111911589712e-02
-2.387755102040816091e-01 3.334309869979603103e-01 5.672569849399942271e-02
-2.265306122448979553e-01 2.839680276225980959e-01 4.976823158968802230e-01
-2.142857142857142738e-01 2.542702995152277268e-01 6.713716308684872236e-02
-2.020408163265305923e-01 3.734719134784806882e-01 3.860300614521317009e-01
-1.897959183673469385e-01 4.723257872843897309e-01 1.377230860413478919e-01
-1.775510204081632570e-01 4.610344102083341333e-01 2.113050991857401417e-01
-1.653061224489795755e-01 6.407226640276643126e-01 2.902294092419909280e-02
-1.530612244897959218e-01 6.372508798586190570e-01 2.126140874326371000e-01
-1.408163265306122403e-01 7.246249757734886110e-01 1.999987518544488196e-01
-1.285714285714285587e-01 8.805655082400347666e-01 8.361992795433767500e-02
-1.163265306122449050e-01 1.113605306933968642e+00 2.393966568676845208e-01
-1.040816326530612235e-01 1.136864183072325840e+00 2.365972453803214803e-01
-9.183673469387754196e-02 1.558133797000364806e+00 9.353517183349663311e-02
-7.959183673469388820e-02 1.955576578537772781e+00 3.932297174858357357e-03
-6.734693877551020669e-02 2.249058054319181377e+00 1.098322265605099074e-01
-5.510204081632652517e-02 2.900180482811110405e+00 2.219135361011237983e-01
-4.285714285714287142e-02 3.538736100921549887e+00 2.530595327510604120e-01
-3.061224489795916215e-02 4.308464046249798507e+00 1.152844904072625187e-01
-1.836734693877550839e-02 5.055508074208040270e+00 1.803217068311617488e-01
-6.122448979591854634e-03 5.547735330259770059e+00 2.518009180579879880e-01
6.122448979591854634e-03 5.546342886629538782e+00 1.097492434215319723e-01
1.836734693877550839e-02 5.029532147262268715e+00 3.639747891336042596e-01
3.061224489795916215e-02 4.269799934485144277e+00 1.968240318058595006e-01
4.285714285714287142e-02 3.567016589664914417e+00 1.973132021058656704e-01
5.510204081632652517e-02 2.905443232816030452e+00 6.689441818994791566e-02
6.734693877551017893e-02 2.313766112633253602e+00 2.630979525446721645e-01
7.959183673469388820e-02 1.954314950151534891e+00 5.044058227581946219e-02
9.183673469387754196e-02 1.577743534469255637e+00 2.744532604002529810e-02
1.040816326530611957e-01 1.333130010329501403e+00 3.930850561288834477e-01
1.163265306122449050e-01 1.125303956692453200e+00 3.179464561838152986e-02
1.285714285714285587e-01 9.793625988389180748e-01 3.811734671073110491e-03
1.408163265306122125e-01 7.720278326717804340e-01 5.364205911239217084e-02
1.530612244897959218e-01 6.744746132081477219e-01 1.124078860237871375e-01
1.653061224489795755e-01 5.926403060205227558e-01 3.446789454790257778e-01
1.775510204081632293e-01 5.403380463695468539e-01 5.427728075450153006e-04
1.897959183673469385e-01 5.105090855287685025e-01 1.220970645907078628e-01
2.020408163265306478e-01 4.269641835873257962e-01 1.686470841453632241e-01
2.142857142857142461e-01 3.628253283555024078e-01 2.145424456449102346e-01
2.265306122448979553e-01 3.082606912824199519e-01 3.588492180564323980e-02
2.387755102040816646e-01 3.091303860694465944e-01 1.895879311570218273e-01
2.510204081632652628e-01 2.821053488864904701e-01 5.342277996373497040e-02
2.632653061224489721e-01 3.064361421325862977e-01 1.195058523523063326e-01
2.755102040816326814e-01 2.572129711914963868e-01 2.251164655580335239e-01
2.877551020408162796e-01 1.505015107023141285e-01 1.063921038124389026e-02
2.999999999999999889e-01 2.558507051022984591e-01 3.521803192946806327e-01
